cert,name,current,cl_cv,pc,ebay_avg,ebay_count,ebay_reject,ebay_kw,ebay_url,winner,base,new_price,action,reason
110420477,Umbreon VMAX (FA Secret),2555.0,2339.00,2307.20,2369.60,21,,2021 Umbreon VMAX Full Art Secret Rare #215 Sword & Shield Evolving Skies PSA 9,https://www.ebay.com/sch/i.html?_nkw=2021+Umbreon+VMAX+Full+Art+Secret+Rare+%23215+Sword+%26+Shield+Evolving+Skies+PSA+9&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,2369.60,2425,skip-not-lowering,
111350109,FA Charizard VMAX,345.0,300.00,317.50,334.06,42,,2020 Full Art Charizard Vmax Shiny Star V #308 Sword & Shield Shiny Star V PSA 10,https://www.ebay.com/sch/i.html?_nkw=2020+Full+Art+Charizard+Vmax+Shiny+Star+V+%23308+Sword+%26+Shield+Shiny+Star+V+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,334.06,345,no-change,
113090244,Rowlet & Alolan Exeggutor GX (FA),260.0,250.00,,216.00,3,,2019 Rowlet Aln.exgtr.gx Sky Legend-Full Art #056 Sun & Moon Sky Legend PSA 10,https://www.ebay.com/sch/i.html?_nkw=2019+Rowlet+Aln.exgtr.gx+Sky+Legend-Full+Art+%23056+Sun+%26+Moon+Sky+Legend+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,250.00,260,no-change,
113910492,FA Mewtwo V,400.0,351.00,,369.39,100,,2022 Full Art Mewtwo V #072 Go PSA 10,https://www.ebay.com/sch/i.html?_nkw=2022+Full+Art+Mewtwo+V+%23072+Go+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,369.39,385,skip-not-lowering,
114068076,Milotic ex (Special Art Rare),180.0,135.00,134.34,164.80,26,,2024 Milotic Ex Special Art Rare #131 Sv8-Super Electric Breaker PSA 10,https://www.ebay.com/sch/i.html?_nkw=2024+Milotic+Ex+Special+Art+Rare+%23131+Sv8-Super+Electric+Breaker+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,164.80,175,skip-not-lowering,
115079776,Gardevoir ex (Special Illustration Rare),500.0,440.00,440.00,438.87,33,,2024 Gardevoir Ex Special Illustration Rare #233 Paldean Fates PSA 10,https://www.ebay.com/sch/i.html?_nkw=2024+Gardevoir+Ex+Special+Illustration+Rare+%23233+Paldean+Fates+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,440.00,455,skip-not-lowering,
119392108,Pikachu ex (Special Illustration Rare),1225.0,1116.02,1166.29,1213.10,40,,2024 Pikachu ex Special Illustration Rare #238 Scarlet & Violet Surging Sparks PSA 10,https://www.ebay.com/sch/i.html?_nkw=2024+Pikachu+ex+Special+Illustration+Rare+%23238+Scarlet+%26+Violet+Surging+Sparks+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,1213.10,1245,skip-below-tier-threshold,
121116624,FA Deoxys,295.0,290.00,282.23,311.66,16,,2023 Full Art Deoxys Crown Zenith #GG12 Sword and Shield Crown Zenith PSA 10,https://www.ebay.com/sch/i.html?_nkw=2023+Full+Art+Deoxys+Crown+Zenith+%23GG12+Sword+and+Shield+Crown+Zenith+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,311.66,325,raise,
126435156,Eevee ex,440.0,355.00,390.89,407.30,75,,2025 Eevee Ex Pre Super-Premium Collection #174 Sv Black Star Promo PSA 10,https://www.ebay.com/sch/i.html?_nkw=2025+Eevee+Ex+Pre+Super-Premium+Collection+%23174+Sv+Black+Star+Promo+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,407.30,420,skip-not-lowering,
128159429,Pikachu (Art Rare),4285.0,3938.38,3450.00,3930.01,30,,2025 Pikachu Art Rare #172 Simplified Chinese 151 C-Collection 151 PSA 10,https://www.ebay.com/sch/i.html?_nkw=2025+Pikachu+Art+Rare+%23172+Simplified+Chinese+151+C-Collection+151+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,3938.38,4025,skip-not-lowering,
